image,coder,noise_kind,std,pcc,cr,psnr
frisco.bmp,HEIF,gaussian,10,80.0,1.494992814289299,28.10923744888057
frisco.bmp,HEIF,gaussian,10,81.0,1.4384311057214818,28.110062104633244
frisco.bmp,HEIF,gaussian,10,82.0,1.4384311057214818,28.110062104633244
frisco.bmp,HEIF,gaussian,10,83.0,1.3906032008742195,28.109171839254138
frisco.bmp,HEIF,gaussian,10,84.0,1.3906032008742195,28.109171839254138
frisco.bmp,HEIF,gaussian,10,85.0,1.3426963126866323,28.1109715177745
frisco.bmp,HEIF,gaussian,10,86.0,1.3426963126866323,28.1109715177745
frisco.bmp,HEIF,gaussian,10,87.0,1.2986168905797963,28.11286548918011
frisco.bmp,HEIF,gaussian,10,88.0,1.2986168905797963,28.11286548918011
frisco.bmp,HEIF,gaussian,10,89.0,1.2597928731047408,28.114363172340187
frisco.bmp,HEIF,gaussian,10,90.0,1.2597928731047408,28.114363172340187
frisco.bmp,HEIF,gaussian,10,91.0,1.220989482901564,28.114760121853447
frisco.bmp,HEIF,gaussian,10,92.0,1.220989482901564,28.114760121853447
frisco.bmp,HEIF,gaussian,10,93.0,1.1900436260957594,28.115317562936852
frisco.bmp,HEIF,gaussian,10,94.0,1.1900436260957594,28.115317562936852
frisco.bmp,HEIF,gaussian,10,95.0,1.188770026800655,28.115334071018573
frisco.bmp,HEIF,gaussian,10,96.0,1.188770026800655,28.115334071018573
frisco.bmp,HEIF,gaussian,10,97.0,1.188770026800655,28.115334071018573
frisco.bmp,HEIF,gaussian,10,98.0,1.188770026800655,28.115334071018573
frisco.bmp,HEIF,gaussian,10,99.0,1.188770026800655,28.115334071018573
